qseqid	DB ID	Protein description	DB description	EC number	CDD ID	taxonomic_range_name	taxonomic_range	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	General functional category	Functional category	KO
tr|F4BY91|F4BY91_METSG	pfam05173	Dihydrodipicolinate reductase, C-terminus (Provisional)	Dihydrodipicolinate reductase, C-terminus. Dihydrodipicolinate reductase (DapB) reduces the alpha,beta-unsaturated cyclic imine, dihydro-dipicolinate. This reaction is the second committed step in the biosynthesis of L-lysine and its precursor meso-diaminopimelate, which are critical for both protein and cell wall biosynthesis. The C-terminal domain of DapB has been proposed to be the substrate- binding domain.		CDD:461568	cellular organisms	131567	53.077	130.0	53.0	2.0	129.0	258.0	1.0	122.0	2.1300000000000003e-56	175.0			
tr|F4BY92|F4BY92_METSG	COG0329	4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase	4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase [Amino acid transport and metabolism, Cell wall/membrane/envelope biogenesis]. 4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase is part of the Pathway/BioSystem: Lysine biosynthesis	4.3.3.7	CDD:440098			55.517	290.0	126.0	2.0	1.0	288.0	1.0	289.0	6.84e-138	388.0	METABOLISM	Amino acid transport and metabolism 	
tr|F4BY92|F4BY92_METSG	COG0329	4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase	4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase [Amino acid transport and metabolism, Cell wall/membrane/envelope biogenesis]. 4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase is part of the Pathway/BioSystem: Lysine biosynthesis	4.3.3.7	CDD:440098			55.517	290.0	126.0	2.0	1.0	288.0	1.0	289.0	6.84e-138	388.0	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis 	
tr|F4BY92|F4BY92_METSG	cd00950		Dihydrodipicolinate synthase (DHDPS). Dihydrodipicolinate synthase (DHDPS) is a key enzyme in lysine biosynthesis. It catalyzes the aldol condensation of L-aspartate-beta- semialdehyde and pyruvate to dihydropicolinic acid via a Schiff base formation between pyruvate and a lysine residue. The functional enzyme is a homotetramer consisting of a dimer of dimers. DHDPS is member of dihydrodipicolinate synthase family that comprises several pyruvate-dependent class I aldolases that use the same catalytic step to catalyze different reactions in different pathways.		CDD:188637			53.873	284.0	128.0	2.0	3.0	284.0	2.0	284.0	1.42e-146	411.0			
tr|F4BY92|F4BY92_METSG	cl21457		TIM-like beta/alpha barrel domains. This domain includes the enzyme Phosphoenolpyruvate phosphomutase (EC:5.4.2.9). This protein Swiss:O86937 has been characterized as catalysing the formation of a carbon-phosphorus bond by converting phosphoenolpyruvate (PEP) to phosphonopyruvate (P-Pyr). This enzyme has a TIM barrel fold.		CDD:473867															
tr|F4BY92|F4BY92_METSG	cl21457		TIM-like beta/alpha barrel domains. This domain includes the enzyme Phosphoenolpyruvate phosphomutase (EC:5.4.2.9). This protein Swiss:O86937 has been characterized as catalysing the formation of a carbon-phosphorus bond by converting phosphoenolpyruvate (PEP) to phosphonopyruvate (P-Pyr). This enzyme has a TIM barrel fold.		CDD:473867															
tr|F4BY92|F4BY92_METSG	cl21457		TIM-like beta/alpha barrel domains. This domain includes the enzyme Phosphoenolpyruvate phosphomutase (EC:5.4.2.9). This protein Swiss:O86937 has been characterized as catalysing the formation of a carbon-phosphorus bond by converting phosphoenolpyruvate (PEP) to phosphonopyruvate (P-Pyr). This enzyme has a TIM barrel fold.		CDD:473867															
tr|F4BYA4|F4BYA4_METSG	COG1541	Phenylacetate-coenzyme A ligase PaaK, adenylate-forming domain family	Phenylacetate-coenzyme A ligase PaaK, adenylate-forming domain family [Coenzyme transport and metabolism]. 	6.2.1.30	CDD:441150			59.112	428.0	167.0	3.0	4.0	431.0	4.0	423.0	0.0	679.0	METABOLISM	Coenzyme transport and metabolism 	
tr|F4BYA4|F4BYA4_METSG	KOG1175	Acyl-CoA synthetase	KOG1175, Acyl-CoA synthetase [Lipid transport and metabolism]		CDD:229118			23.411	299.0	175.0	12.0	92.0	356.0	247.0	525.0	4.44e-07	49.6	METABOLISM	Lipid transport and metabolism 	
tr|F4BYA4|F4BYA4_METSG	KOG1176	Acyl-CoA synthetase	KOG1176, Acyl-CoA synthetase [Lipid transport and metabolism]		CDD:229119			19.286	140.0	100.0	5.0	71.0	202.0	11.0	145.0	0.000156	41.5	METABOLISM	Lipid transport and metabolism 	
tr|F4BYA4|F4BYA4_METSG	KOG1177	Long chain fatty acid acyl-CoA ligase	KOG1177, Long chain fatty acid acyl-CoA ligase [Lipid transport and metabolism]		CDD:229120			23.824	319.0	188.0	16.0	92.0	380.0	242.0	535.0	1.42e-07	51.3	METABOLISM	Lipid transport and metabolism 	
tr|F4BYA4|F4BYA4_METSG	PRK05691	non-ribosomal peptide synthase/polyketide synthase	peptide synthase; Validated		CDD:235564	Bacteria	2	29.412	119.0	56.0	5.0	324.0	427.0	446.0	551.0	0.000184	42.5			
tr|F4BYA4|F4BYA4_METSG	PRK07638	acyl-CoA synthetase (Provisional)	acyl-CoA synthetase; Validated		CDD:236071	Bacillales	1385	24.333	300.0	162.0	19.0	92.0	362.0	151.0	414.0	2.13e-11	64.0			
tr|F4BYA4|F4BYA4_METSG	TIGR02155	phenylacetate--CoA ligase	phenylacetate-CoA ligase. Phenylacetate-CoA ligase (PA-CoA ligase) catalyzes the first step in aromatic catabolism of phenylacetic acid (PA) into phenylacetyl-CoA (PA-CoA). Often located in a conserved gene cluster with enzymes involved in phenylacetic acid activation (paaG/H/I/J), phenylacetate-CoA ligase has been found among the proteobacteria as well as in gram positive prokaryotes. In the B-subclass proteobacterium Azoarcus evansii, phenylacetate-CoA ligase has been shown to be induced under aerobic and anaerobic growth conditions. It remains unclear however, whether this induction is due to the same enzyme or to another isoenzyme restricted to specific anaerobic growth conditions. [Energy metabolism, Other]	6.2.1.30	CDD:131210	Bacteria	2	48.826	426.0	211.0	5.0	10.0	432.0	1.0	422.0	0.0	517.0			
tr|F4BYA4|F4BYA4_METSG	cd05913		Phenylacetate-CoA ligase (also known as PaaK). PaaK catalyzes the first step in the aromatic degradation pathway, by converting phenylacetic acid (PA) into phenylacetyl-CoA (PA-CoA). Phenylacetate-CoA ligase has been found in proteobacteria as well as gram positive prokaryotes. The enzyme is specifically induced after aerobic growth in a chemically defined medium containing PA or phenylalanine (Phe) as the sole carbon source. PaaKs are members of the adenylate-forming enzyme (AFE) family. However, sequence comparison reveals divergent features of PaaK with respect to the superfamily, including a novel N-terminal sequence.		CDD:341239			56.075	428.0	184.0	3.0	7.0	433.0	1.0	425.0	0.0	615.0			
tr|F4BYA4|F4BYA4_METSG	pfam00501	AMP-binding protein	AMP-binding enzyme. 		CDD:459834	cellular organisms	131567	25.0	276.0	154.0	13.0	92.0	335.0	163.0	417.0	2.18e-12	66.6			
tr|F4BYA4|F4BYA4_METSG	pfam14535	AMP-binding enzyme C-terminal domain (Provisional)	AMP-binding enzyme C-terminal domain. This is a small domain that is found C terminal to pfam00501. It has a central beta sheet core that is flanked by alpha helices.		CDD:434024	cellular organisms	131567	60.825	97.0	37.0	1.0	336.0	432.0	1.0	96.0	9.68e-48	156.0			
tr|F4BYA5|F4BYA5_METSG	COG4747	ACT domain-containing protein	ACT domain-containing protein [General function prediction only]. 		CDD:443781			55.814	129.0	57.0	0.0	5.0	133.0	1.0	129.0	1.84e-63	187.0	POORLY CHARACTERIZED	General function prediction only 	
tr|F4BYA5|F4BYA5_METSG	TIGR00119	acetolactate synthase small subunit	acetolactate synthase, small subunit. Acetolactate synthase is a heterodimeric thiamine pyrophosphate enzyme with large and small subunits. One of the three isozymes in E. coli K12 contains a frameshift in the large subunit gene and is not expressed. acetohydroxyacid synthase is a synonym. [Amino acid biosynthesis, Pyruvate family]	2.2.1.6	CDD:272916	cellular organisms	131567	38.095	42.0	26.0	0.0	7.0	48.0	4.0	45.0	0.000471	35.4			
tr|F4BYA5|F4BYA5_METSG	cd04882		C-terminal ACT domain of a novel protein composed of just two ACT domains. Included in this CD is the C-terminal ACT domain of a novel protein composed of just two ACT domains, as seen in the yet uncharacterized structure (pdb 2F06) of the Bt0572 protein from Bacteroides thetaiotaomicron and related proteins. Members of this CD belong to the superfamily of ACT regulatory domains.		CDD:153154			46.875	64.0	34.0	0.0	72.0	135.0	1.0	64.0	1.57e-20	77.6			
tr|F4BYA5|F4BYA5_METSG	cd04908		N-terminal ACT domain of a novel protein composed almost entirely of two tandem ACT domains. Included in this CD is the N-terminal ACT domain of a novel protein composed almost entirely of two tandem ACT domains as seen in the uncharacterized structure (pdb 2F06) of the Bt0572 protein from Bacteroides thetaiotaomicron and related ACT domains. These tandem ACT domain proteins belong to the superfamily of ACT regulatory domains.		CDD:153180			50.0	66.0	33.0	0.0	4.0	69.0	1.0	66.0	1.36e-29	100.0			
tr|F4BYA5|F4BYA5_METSG	pfam19571		ACT domain pair. This entry represents a pair of ACT domains. These domains bind to amino acids and often form regulatory subunits of enzymes. Proteins in this family are found in bacteria and archaea. Proteins in this family are approximately 140 amino acids in length.		CDD:437403			27.66	141.0	100.0	1.0	4.0	144.0	3.0	141.0	1.68e-23	87.6			
tr|F4BYB3|F4BYB3_METSG	COG1222	ATP-dependent 26S proteasome regulatory subunit	ATP-dependent 26S proteasome regulatory subunit [Posttranslational modification, protein turnover, chaperones]. 	3.4.24.64	CDD:440835			44.257	296.0	147.0	2.0	177.0	471.0	46.0	324.0	7.629999999999999e-120	360.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	COG1222	ATP-dependent 26S proteasome regulatory subunit	ATP-dependent 26S proteasome regulatory subunit [Posttranslational modification, protein turnover, chaperones]. 	3.4.24.64	CDD:440835			41.104	326.0	186.0	3.0	411.0	733.0	4.0	326.0	2.5800000000000003e-117	353.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0651	26S proteasome regulatory complex, ATPase RPT4	KOG0651, 26S proteasome regulatory complex, ATPase RPT4 [Posttranslational modification, protein turnover, chaperones]		CDD:228598			44.017	234.0	122.0	4.0	478.0	706.0	128.0	357.0	4.65e-54	189.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0651	26S proteasome regulatory complex, ATPase RPT4	KOG0651, 26S proteasome regulatory complex, ATPase RPT4 [Posttranslational modification, protein turnover, chaperones]		CDD:228598			41.199	267.0	138.0	4.0	181.0	429.0	90.0	355.0	8.149999999999999e-54	188.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0652	26S proteasome regulatory complex, ATPase RPT5	KOG0652, 26S proteasome regulatory complex, ATPase RPT5 [Posttranslational modification, protein turnover, chaperones]		CDD:228599			43.233	266.0	137.0	5.0	177.0	430.0	132.0	395.0	6.159999999999999e-67	225.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0652	26S proteasome regulatory complex, ATPase RPT5	KOG0652, 26S proteasome regulatory complex, ATPase RPT5 [Posttranslational modification, protein turnover, chaperones]		CDD:228599			41.27	252.0	143.0	3.0	475.0	724.0	164.0	412.0	2.77e-62	212.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0726	26S proteasome regulatory complex, ATPase RPT2	KOG0726, 26S proteasome regulatory complex, ATPase RPT2 [Posttranslational modification, protein turnover, chaperones]		CDD:228673			48.908	229.0	114.0	1.0	204.0	429.0	180.0	408.0	6.3e-72	239.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0726	26S proteasome regulatory complex, ATPase RPT2	KOG0726, 26S proteasome regulatory complex, ATPase RPT2 [Posttranslational modification, protein turnover, chaperones]		CDD:228673			44.49	245.0	133.0	2.0	463.0	705.0	166.0	409.0	1.4e-65	222.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0727	26S proteasome regulatory complex, ATPase RPT3	KOG0727, 26S proteasome regulatory complex, ATPase RPT3 [Posttranslational modification, protein turnover, chaperones]		CDD:228674			45.038	262.0	124.0	2.0	204.0	462.0	150.0	394.0	7.88e-75	246.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0727	26S proteasome regulatory complex, ATPase RPT3	KOG0727, 26S proteasome regulatory complex, ATPase RPT3 [Posttranslational modification, protein turnover, chaperones]		CDD:228674			49.356	233.0	117.0	1.0	475.0	706.0	148.0	380.0	1.53e-73	242.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0728	26S proteasome regulatory complex, ATPase RPT6	KOG0728, 26S proteasome regulatory complex, ATPase RPT6 [Posttranslational modification, protein turnover, chaperones]		CDD:228675			48.485	231.0	114.0	2.0	203.0	429.0	141.0	370.0	2.6e-68	228.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0728	26S proteasome regulatory complex, ATPase RPT6	KOG0728, 26S proteasome regulatory complex, ATPase RPT6 [Posttranslational modification, protein turnover, chaperones]		CDD:228675			42.802	257.0	133.0	4.0	472.0	715.0	136.0	391.0	6.6e-60	205.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0729	26S proteasome regulatory complex, ATPase RPT1	KOG0729, 26S proteasome regulatory complex, ATPase RPT1 [Posttranslational modification, protein turnover, chaperones]		CDD:228676			50.218	229.0	111.0	2.0	204.0	429.0	172.0	400.0	1.1e-71	238.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0729	26S proteasome regulatory complex, ATPase RPT1	KOG0729, 26S proteasome regulatory complex, ATPase RPT1 [Posttranslational modification, protein turnover, chaperones]		CDD:228676			38.854	314.0	177.0	6.0	435.0	736.0	125.0	435.0	3.67e-61	210.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0730	AAA+-type ATPase	KOG0730, AAA+-type ATPase [Posttranslational modification, protein turnover, chaperones]		CDD:228677			51.123	579.0	253.0	7.0	164.0	741.0	142.0	691.0	0.0	661.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0731	AAA+-type ATPase containing the peptidase M41 domain	KOG0731, AAA+-type ATPase containing the peptidase M41 domain [Posttranslational modification, protein turnover, chaperones]		CDD:228678			43.333	270.0	143.0	5.0	479.0	745.0	308.0	570.0	2.0300000000000001e-66	232.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0731	AAA+-type ATPase containing the peptidase M41 domain	KOG0731, AAA+-type ATPase containing the peptidase M41 domain [Posttranslational modification, protein turnover, chaperones]		CDD:228678			45.607	239.0	124.0	4.0	206.0	439.0	308.0	545.0	7.98e-65	228.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0732	AAA+-type ATPase containing the bromodomain	KOG0732, AAA+-type ATPase containing the bromodomain [Posttranslational modification, protein turnover, chaperones]		CDD:228679			30.346	491.0	266.0	12.0	199.0	664.0	255.0	694.0	1.79e-84	287.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0732	AAA+-type ATPase containing the bromodomain	KOG0732, AAA+-type ATPase containing the bromodomain [Posttranslational modification, protein turnover, chaperones]		CDD:228679			36.624	314.0	165.0	7.0	434.0	727.0	229.0	528.0	1.34e-57	210.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0732	AAA+-type ATPase containing the bromodomain	KOG0732, AAA+-type ATPase containing the bromodomain [Posttranslational modification, protein turnover, chaperones]		CDD:228679			15.741	324.0	246.0	9.0	186.0	484.0	475.0	796.0	1.17e-12	69.1	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0733	Nuclear AAA ATPase (VCP subfamily)	KOG0733, Nuclear AAA ATPase (VCP subfamily) [Posttranslational modification, protein turnover, chaperones]		CDD:228680			44.688	640.0	284.0	8.0	177.0	749.0	158.0	794.0	0.0	631.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0734	AAA+-type ATPase containing the peptidase M41 domain	KOG0734, AAA+-type ATPase containing the peptidase M41 domain [Posttranslational modification, protein turnover, chaperones]		CDD:228681			34.648	355.0	209.0	6.0	88.0	427.0	175.0	521.0	2.62e-66	232.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0734	AAA+-type ATPase containing the peptidase M41 domain	KOG0734, AAA+-type ATPase containing the peptidase M41 domain [Posttranslational modification, protein turnover, chaperones]		CDD:228681			40.625	256.0	138.0	5.0	463.0	717.0	292.0	534.0	6.030000000000001e-66	230.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0735	AAA+-type ATPase	KOG0735, AAA+-type ATPase [Posttranslational modification, protein turnover, chaperones]		CDD:228682			29.297	669.0	409.0	18.0	115.0	752.0	310.0	945.0	8.3e-111	356.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0736	Peroxisome assembly factor 2 containing the AAA+-type ATPase domain	KOG0736, Peroxisome assembly factor 2 containing the AAA+-type ATPase domain [Posttranslational modification, protein turnover, chaperones]		CDD:228683			36.557	517.0	296.0	10.0	246.0	736.0	434.0	944.0	6.53e-118	375.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0736	Peroxisome assembly factor 2 containing the AAA+-type ATPase domain	KOG0736, Peroxisome assembly factor 2 containing the AAA+-type ATPase domain [Posttranslational modification, protein turnover, chaperones]		CDD:228683			42.5	280.0	152.0	6.0	194.0	467.0	659.0	935.0	3.62e-76	262.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0737	AAA+-type ATPase	KOG0737, AAA+-type ATPase [Posttranslational modification, protein turnover, chaperones]		CDD:228684			37.805	328.0	160.0	9.0	435.0	731.0	52.0	366.0	8.24e-72	237.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0737	AAA+-type ATPase	KOG0737, AAA+-type ATPase [Posttranslational modification, protein turnover, chaperones]		CDD:228684			36.594	276.0	159.0	5.0	206.0	467.0	89.0	362.0	2.66e-64	217.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0738	AAA+-type ATPase	KOG0738, AAA+-type ATPase [Posttranslational modification, protein turnover, chaperones]		CDD:228685			40.339	295.0	156.0	9.0	185.0	468.0	188.0	473.0	6.590000000000001e-73	243.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0738	AAA+-type ATPase	KOG0738, AAA+-type ATPase [Posttranslational modification, protein turnover, chaperones]		CDD:228685			40.418	287.0	146.0	7.0	470.0	736.0	200.0	481.0	4.48e-72	241.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0739	AAA+-type ATPase	KOG0739, AAA+-type ATPase [Posttranslational modification, protein turnover, chaperones]		CDD:228686			42.169	249.0	130.0	7.0	472.0	717.0	123.0	360.0	2.8300000000000003e-59	205.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0739	AAA+-type ATPase	KOG0739, AAA+-type ATPase [Posttranslational modification, protein turnover, chaperones]		CDD:228686			39.394	231.0	133.0	5.0	204.0	431.0	128.0	354.0	7.889999999999999e-54	190.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0740	AAA+-type ATPase	KOG0740, AAA+-type ATPase [Posttranslational modification, protein turnover, chaperones]		CDD:228687			37.884	293.0	157.0	10.0	469.0	744.0	140.0	424.0	4.8799999999999995e-54	190.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0740	AAA+-type ATPase	KOG0740, AAA+-type ATPase [Posttranslational modification, protein turnover, chaperones]		CDD:228687			37.38	313.0	173.0	11.0	169.0	473.0	116.0	413.0	1.89e-50	180.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0741	AAA+-type ATPase	KOG0741, AAA+-type ATPase [Posttranslational modification, protein turnover, chaperones]		CDD:228688			30.634	568.0	316.0	24.0	74.0	588.0	69.0	611.0	3.19e-71	245.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0741	AAA+-type ATPase	KOG0741, AAA+-type ATPase [Posttranslational modification, protein turnover, chaperones]		CDD:228688			36.525	282.0	146.0	8.0	477.0	727.0	214.0	493.0	2.0599999999999997e-52	192.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0743	AAA+-type ATPase	KOG0743, AAA+-type ATPase [Posttranslational modification, protein turnover, chaperones]		CDD:228690			25.112	223.0	130.0	9.0	488.0	692.0	207.0	410.0	2.42e-16	80.1	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0743	AAA+-type ATPase	KOG0743, AAA+-type ATPase [Posttranslational modification, protein turnover, chaperones]		CDD:228690			30.435	161.0	85.0	8.0	229.0	375.0	221.0	368.0	8.1e-15	75.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0744	AAA+-type ATPase	KOG0744, AAA+-type ATPase [Posttranslational modification, protein turnover, chaperones]		CDD:228691			33.962	159.0	85.0	6.0	246.0	386.0	180.0	336.0	7.99e-20	90.3	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	KOG0744	AAA+-type ATPase	KOG0744, AAA+-type ATPase [Posttranslational modification, protein turnover, chaperones]		CDD:228691			32.515	163.0	92.0	5.0	519.0	665.0	180.0	340.0	1.54e-18	86.4	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
tr|F4BYB3|F4BYB3_METSG	PRK03992	proteasome-activating nucleotidase	proteasome-activating nucleotidase; Provisional		CDD:179699	Archaea	2157	47.492	299.0	128.0	5.0	189.0	477.0	106.0	385.0	2.5500000000000004e-103	321.0			
tr|F4BYB3|F4BYB3_METSG	PRK03992	proteasome-activating nucleotidase	proteasome-activating nucleotidase; Provisional		CDD:179699	Archaea	2157	50.787	254.0	120.0	3.0	473.0	724.0	122.0	372.0	6.81e-97	304.0			
tr|F4BYB3|F4BYB3_METSG	TIGR01243	CDC48 family AAA ATPase	AAA family ATPase, CDC48 subfamily. This subfamily of the AAA family ATPases includes two members each from three archaeal species. It also includes yeast CDC48 (cell division control protein 48) and the human ortholog, transitional endoplasmic reticulum ATPase (valosin-containing protein). These proteins in eukaryotes are involved in the budding and transfer of membrane from the transitional endoplasmic reticulum to the Golgi apparatus.		CDD:273521	cellular organisms	131567	54.414	759.0	297.0	6.0	7.0	745.0	2.0	731.0	0.0	895.0			
tr|F4BYB3|F4BYB3_METSG	cl38936		P-loop containing Nucleoside Triphosphate Hydrolases. This family includes a wide variety of AAA domains including some that have lost essential nucleotide binding residues in the P-loop.		CDD:476819															
tr|F4BYB3|F4BYB3_METSG	pfam00004	AAA family ATPase	ATPase family associated with various cellular activities (AAA). AAA family proteins often perform chaperone-like functions that assist in the assembly, operation, or disassembly of protein complexes.		CDD:459627	cellular organisms	131567	56.818	132.0	54.0	2.0	246.0	376.0	1.0	130.0	3.2399999999999996e-54	181.0			
tr|F4BYB3|F4BYB3_METSG	pfam00004	AAA family ATPase	ATPase family associated with various cellular activities (AAA). AAA family proteins often perform chaperone-like functions that assist in the assembly, operation, or disassembly of protein complexes.		CDD:459627	cellular organisms	131567	56.716	134.0	53.0	3.0	519.0	651.0	1.0	130.0	1.08e-52	177.0			
tr|F4BYB3|F4BYB3_METSG	pfam02359	Cell division protein 48 (CDC48), N-terminal domain (Provisional)	Cell division protein 48 (CDC48), N-terminal domain. This domain has a double psi-beta barrel fold and includes VCP-like ATPase and N-ethylmaleimide sensitive fusion protein N-terminal domains. Both the VAT and NSF N-terminal functional domains consist of two structural domains of which this is at the N-terminus. The VAT-N domain found in AAA ATPases pfam00004 is a substrate 185-residue recognition domain.		CDD:426738	cellular organisms	131567	51.765	85.0	41.0	0.0	8.0	92.0	1.0	85.0	2.4500000000000002e-29	109.0			
tr|F4BYB3|F4BYB3_METSG	pfam02933	Cell division protein 48 (CDC48), domain 2 (Provisional)	Cell division protein 48 (CDC48), domain 2. This domain has a double psi-beta barrel fold and includes VCP-like ATPase and N-ethylmaleimide sensitive fusion protein N-terminal domains. Both the VAT and NSF N-terminal functional domains consist of two structural domains of which this is at the C-terminus. The VAT-N domain found in AAA ATPases pfam00004 is a substrate 185-residue recognition domain.		CDD:427063	cellular organisms	131567	27.381	84.0	33.0	1.0	114.0	197.0	8.0	63.0	4.12e-06	43.0			
tr|F4BYB3|F4BYB3_METSG	pfam17862	AAA+ lid domain (Provisional)	AAA+ lid domain. This entry represents the alpha helical AAA+ lid domain that is found to the C-terminus of AAA domains.		CDD:465537	cellular organisms	131567	38.298	47.0	27.0	1.0	673.0	719.0	1.0	45.0	3.64e-10	53.7			
tr|F4BYB3|F4BYB3_METSG	pfam17862	AAA+ lid domain (Provisional)	AAA+ lid domain. This entry represents the alpha helical AAA+ lid domain that is found to the C-terminus of AAA domains.		CDD:465537	cellular organisms	131567	50.0	42.0	21.0	0.0	398.0	439.0	1.0	42.0	7.51e-10	52.9			
tr|F4BYB3|F4BYB3_METSG	smart00382	ATPases associated with a variety of cellular activities	ATPases associated with a variety of cellular activities. AAA - ATPases associated with a variety of cellular activities. This profile/alignment only detects a fraction of this vast family. The poorly conserved N-terminal helix is missing from the alignment.		CDD:214640			32.258	155.0	80.0	5.0	242.0	378.0	1.0	148.0	8.71e-21	83.6			
